topic_id,group,l1_hint,l2_hint,keywords
zus_ulga_na_start,zus,Prawo przedsiebiorcow art. 18,biznes.gov.pl/zus,ulga na start|art. 18 prawo przedsiebiorc
zus_preferencyjny,zus,Ustawa o systemie ub. spol. art. 18a,zus.pl poradniki,preferencyjn|obnizone skladki|obniżone składki
zus_maly_zus_plus,zus,Ustawa o systemie ub. spol. art. 18c,zus.pl mzp,maly zus|mały zus|art. 18c|mzp
zus_wakacje_skladkowe,zus,Ustawa o systemie ub. spol. (zmiana 2024),zus.pl rws,wakacje skladkow|wakacje składkow| rws
zus_skladka_zdrowotna_jdg,zus,Ustawa o swiad. zdrow./PIT,zus.pl skladka zdrowotna,skladka zdrowotn|składka zdrowotn
zus_zua_zwua_dra,zus,Rozp. zgloszenia ub. spol.,zus.pl druki,zua|zwua| dra |deklaracja rozliczeniow
zus_zasilek_chorobowy_jdg,zus,Ustawa o swiadczeniach pien. z ub. chor.,zus.pl zasilek,zasilek chorobow|zasiłek chorobow|ubezpieczenie chorobowe
zus_podstawa_wymiaru,zus,Ustawa o systemie ub. spol.,zus.pl skladki-wskazniki,podstawa wymiaru skladek|podstawa wymiaru składek
zus_zawieszenie_dzialalnosci,zus,Prawo przedsiebiorcow art. 22-25,biznes.gov.pl,zawieszenie dzialalnosci|zawieszenie działalnosci|zawieszenie działalności
zus_emerytura_jdg,zus,Ustawa o emeryt. i rentach z FUS,zus.pl,emerytur|zbieg tytulow|zbieg tytułów
pit_skala,pit,Ustawa o PIT art. 27,podatki.gov.pl PIT-36,skala podatkowa|pit-36|pit 36
pit_liniowy,pit,Ustawa o PIT art. 30c,podatki.gov.pl PIT-36L,podatek liniowy|pit-36l|art. 30c
pit_ryczalt,pit,Ustawa o ryczalcie,podatki.gov.pl PIT-28,ryczalt od przychod|ryczałt od przychod|pit-28|ustawa o ryczalcie|ustawa o ryczałcie
pit_stawki_ryczalt_pkd,pit,Zalacznik do ustawy o ryczalcie,podatki.gov.pl,stawka ryczaltu|stawka ryczałtu|stawki ryczaltu|stawki ryczałtu
pit_karta_podatkowa,pit,Ustawa o ryczalcie (karta),podatki.gov.pl,karta podatkow|pit-16a
pit_ip_box,pit,Ustawa o PIT art. 30ca-30cb,podatki.gov.pl ip box,ip box|kwalifikowane prawo wlasnosci|kwalifikowane prawo własności
pit_kup,pit,Ustawa o PIT art. 22,podatki.gov.pl,koszty uzyskania przychod|art. 22 pit
pit_amortyzacja,pit,Rozp. wykaz stawek amort.,podatki.gov.pl,amortyzacj|ksrodków trwa|kśt|wykaz rocznych stawek
pit_kpir,pit,Rozp. KPiR,podatki.gov.pl ksiegowosc,kpir|podatkowej ksiegi przychodow|podatkowej księgi przychodów|ksiega przychodow|księga przychodów
pit_ewidencja_ryczalt,pit,Rozp. ewidencja ryczalt,podatki.gov.pl,ewidencja przychod|ewidencji przychod
pit_roczny,pit,Ustawa o PIT,podatki.gov.pl kalendarz,pit roczny|rozliczenie roczne|termin pit|kalendarz pit
vat_rejestracja,vat,Ustawa o VAT art. 96,podatki.gov.pl VAT-R,rejestracja vat|vat-r
vat_zwolnienie_200k,vat,Ustawa o VAT art. 113,podatki.gov.pl,zwolnieni|art. 113|200 tys|200 000
vat_jpk,vat,Rozp. JPK_V7,podatki.gov.pl JPK,jpk_v7|jpk vat|jednolity plik kontroln
vat_ksef,vat,Ustawa o VAT (KSeF),podatki.gov.pl KSeF,ksef|krajowy system e-faktur|faktur ustrukturyzowan
vat_stawki,vat,Ustawa o VAT zal.,podatki.gov.pl matryca,stawki vat|matryca vat
vat_ue,vat,Ustawa o VAT,podatki.gov.pl VAT-UE,vat-ue|vat ue|wdt|wnt|wewnatrzwspolnotow|wewnątrzwspólnotow
vat_marza,vat,Ustawa o VAT art. 119-120,podatki.gov.pl,vat marza|vat marża|procedura marz
vat_biala_lista,vat,Ustawa o VAT art. 96b,podatki.gov.pl/biala-lista,biala lista|biała lista|wykaz podatnikow vat|wykaz podatników vat
ceidg_rejestracja,ceidg,Prawo przedsiebiorcow,biznes.gov.pl ceidg-1,rejestracja ceidg|wniosek ceidg-1|ceidg-1
ceidg_pkd,ceidg,Rozp. PKD 2007,biznes.gov.pl/pkd,kody pkd|klasyfikacja pkd
ceidg_zawieszenie,ceidg,Prawo przedsiebiorcow art. 22-25,biznes.gov.pl,zawieszenie dzialalnosci|zawieszenie działalnosci|zawieszenie działalności
ceidg_wznowienie,ceidg,Prawo przedsiebiorcow,biznes.gov.pl,wznowienie dzialalnosci|wznowienie działalności
ceidg_zamkniecie,ceidg,Prawo przedsiebiorcow,biznes.gov.pl,zamkniecie dzialalnosci|zamknięcie działalności|wykreslenie ceidg|wykreślenie ceidg
ceidg_zmiana_wpisu,ceidg,Prawo przedsiebiorcow,biznes.gov.pl,zmiana wpisu ceidg|zmiana wpisu w ceidg
ceidg_dzialalnosc_nierejestrowana,ceidg,Prawo przedsiebiorcow art. 5,biznes.gov.pl,dzialalnosc nierejestrowan|działalność nierejestrowan|art. 5 prawo przedsiebiorc
kp_umowa_o_prace,kp,Kodeks pracy,pip.gov.pl,umowa o prace|umowa o pracę|kodeks pracy art. 25
kp_umowa_zlecenie,kp,Kodeks cywilny art. 734,pip.gov.pl,umowa zlecen|art. 734 kodeks
kp_umowa_o_dzielo,kp,Kodeks cywilny art. 627,pip.gov.pl,umowa o dzielo|umowa o dzieło
kp_czas_pracy,kp,Kodeks pracy dzial VI,pip.gov.pl,czas pracy|ewidencja czasu pracy|nadgodzin
kp_urlop,kp,Kodeks pracy dzial VII,pip.gov.pl,urlop wypoczynkow|urlop macierzyn|wymiar urlopu|urlop opiekun
kp_wypowiedzenie,kp,Kodeks pracy art. 30-36,pip.gov.pl,wypowiedzenie umow|okres wypowiedzenia
kp_swiadectwo_pracy,kp,Rozp. swiadectwo pracy,pip.gov.pl,swiadectwo pracy|świadectwo pracy
kp_bhp_biuro,kp,Kodeks pracy dzial X,pip.gov.pl bhp biuro,bhp biuro|bhp praca zdaln|szkolenie wstepne bhp|szkolenie wstępne bhp
rodo_mala_firma,rodo,RODO 2016/679,uodo.gov.pl,rodo mal|rodo mał|rodo przedsiebiorc|rodo przedsiębiorc
rodo_rejestr_czynnosci,rodo,RODO art. 30,uodo.gov.pl rcp,rejestr czynnosci przetwarzania|rejestr czynności przetwarzania|art. 30 rodo
rodo_iod,rodo,RODO art. 37-39,uodo.gov.pl iod,iod|inspektor ochrony danych
rodo_klauzula_informacyjna,rodo,RODO art. 13-14,uodo.gov.pl,klauzula informacyjn|art. 13 rodo
rodo_monitoring,rodo,Kodeks pracy art. 22[2],uodo.gov.pl monitoring,monitoring pracownik|art. 22^2 kodeks|art. 222 kodeks
rodo_naruszenie,rodo,RODO art. 33-34,uodo.gov.pl naruszenie,naruszenie ochrony danych|zgloszenie do uodo|zgłoszenie do uodo|72h|72 godzin
rodo_rekrutacja,rodo,RODO + KP,uodo.gov.pl rekrutacja,rodo rekrutacj|klauzula cv
