product_id,first_atc,atc_level1,all_atc_codes,is_psych_N05_N06,name,dci_name,numer_pozwolenia,chpl_url,ulotka_url
100445963,R05CB06,R,R05CB06,no,Ambroxol Aflofarm,Ambroxoli hydrochloridum,27306,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/44596/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/44596/leaflet
100103932,N02CC01,N,N02CC01,no,Sumamigren,Sumatriptanum,08967,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/10393/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/10393/leaflet
100021016,C02CA06,C,C02CA06,no,Ebrantil 25,Urapidilum,01798,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/2101/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/2101/leaflet
100485893,B01AF02,B,B01AF02,no,Apixaban Olpha,Apixabanum,29112,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/48589/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/48589/leaflet
100228450,C05CA03,C,C05CA03,no,Procto-Hemolan control,Diosminum,16966,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/22845/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/22845/leaflet
100206543,N05AH04,N,N05AH04,yes,Kwetaplex,Quetiapinum,15239,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/20654/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/20654/leaflet
100196224,A02BC02,A,A02BC02,no,Gastrostad,Pantoprazolum,14743,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/19622/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/19622/leaflet
100123290,V01AA,V,V01AA,no,Staloral 300,Wyciągi alergenowe pochodzenia roślinnego (pyłki roślin),10619,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/12329/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/12329/leaflet
100483934,M01AE17,M,M01AE17,no,Delprofex,Dexketoprofenum,29072,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/48393/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/48393/leaflet
100098183,J05AB01,J,J05AB01,no,Heviran,Aciclovirum,08402,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/9818/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/9818/leaflet
100459640,N05AA02,N,N05AA02,yes,Levomentis,Levomepromazinum,27038,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/45964/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/45964/leaflet
100485731,G04BE08,G,G04BE08,no,Tadalafil Medreg,Tadalafilum,29297,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/48573/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/48573/leaflet
100412685,J05AH02,J,J05AH02,no,Segosana,Oseltamivirum,25986,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/41268/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/41268/leaflet
100087334,D07AC01,D,D07AC01,no,Betnovate,Betamethasoni valeras,04232,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/8733/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/8733/leaflet
100430602,C09BB07,C,C09BB07,no,Sumilar,Ramiprilum + Amlodipinum,25788,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/43060/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/43060/leaflet
100352380,A06AD11,A,A06AD11,no,Lactulosum Orifarm Forte,Lactulosum,24225,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/35238/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/35238/leaflet
100028225,N05AD01,N,N05AD01,yes,Haloperidol WZF,Haloperidolum,01040,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/2822/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/2822/leaflet
100025994,V08AA01,V,V08AA01,no,Gastrografin,Meglumini amidotrizoas + Natrii amidotrizoas,06813,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/2599/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/2599/leaflet
100092418,N05CM09,N,N05CM09,yes,Hova,Valerianae radicis extractum siccum + Lupuli floris extractum siccum,04709,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/9241/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/9241/leaflet
100193869,A01AB09,A,A01AB09;A07AC01,no,Daktarin-oral,Miconazolum,06771,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/19386/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/19386/leaflet
100201089,QP53AC54,Q,QP53AC54,no,Duowin Contact dla dużego psa,Permethrinum + Pyriproxyfenum,5010,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/20108/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/20108/leaflet
100395952,C10AA07,C,C10AA07,no,Aporoza,Rosuvastatinum,25793,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/39595/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/39595/leaflet
100434089,A10BD07,A,A10BD07,no,Metformax Combi,Sitagliptinum + Metformini hydrochloridum,27069,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/43408/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/43408/leaflet
100022151,L01AA01,L,L01AA01,no,Endoxan,Cyclophosphamidum,02409,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/2215/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/2215/leaflet
100420220,B01AF01,B,B01AF01,no,Mantreda,Rivaroxabanum,26776,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/42022/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/42022/leaflet
100184280,QI01AD03,Q,QI01AD03,no,Bio-Marek HVT,"Szczepionka przeciw chorobie Mareka, żywa",0889,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/18428/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/18428/leaflet
100476640,L01BC06,L,L01BC06,no,Capecitabinum Glenmark,Capecitabinum,27818,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/47664/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/47664/leaflet
100449790,B01AF01,B,B01AF01,no,Rivaroxaban Reddy,Rivaroxabanum,28006,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/44979/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/44979/leaflet
100470467,V03AB21,V,V03AB21,no,Jodek potasu SERB,Kalii iodidum,27611,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/47046/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/47046/leaflet
100412596,N05BA06,N,N05BA06,yes,Lorabex,Lorazepamum,25881,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/41259/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/41259/leaflet
100350889,G02CX01,G,G02CX01,no,Atosiban Accord,Atosibanum,22771,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/35088/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/35088/leaflet
100194722,V01AA,V,V01AA,no,Staloral,"Mieszanki wyciągów alergenowych (pochodzenia roślinnego, zwierzęcego, roztoczy, grzybów)",08200,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/19472/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/19472/leaflet
100369937,A10BA02,A,A10BA02,no,Metcrean XR,Metformini hydrochloridum,25597,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/36993/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/36993/leaflet
100430252,N02BF02,N,N02BF02,no,Pregabalin Aurovitas,Pregabalinum,27092,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/43025/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/43025/leaflet
100230257,A02BC02,A,A02BC02,no,Pantoprazole Bluefish,Pantoprazolum,17030,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/23025/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/23025/leaflet
100005632,N06AA04,N,N06AA04,yes,Anafranil,Clomipramini hydrochloridum,02949,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/563/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/563/leaflet
100495395,QN02AX02,Q,QN02AX02,no,Tramcoat,Tramadoli hydrochloridum,3312,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/49539/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/49539/leaflet
100154119,A02BC05,A,A02BC05,no,Texibax,Esomeprazolum,18983,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/15411/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/15411/leaflet
100469492,V09X,V,V09X,no,V-Ga68,Gallii (68Ga) chloridum,28103,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/46949/characteristic,https://rejestry.ezdrowie.gov.pl/api/rpl/medicinal-products/46949/leaflet
